  SC16 =  72  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9815    0.0070    39065    39801
   2a   0.9790    0.0070    38199    39019
   3a   0.9811    0.0070    38791    39538
   4a   0.9833    0.0069    39987    40668
   1b   0.9810    0.0070    38941    39697
   2b   0.9800    0.0071    37449    38213
   3b   0.9804    0.0070    39025    39806
   4b   0.9804    0.0069    40432    41241
   1c   0.9787    0.0069    39365    40221
   2c   0.9793    0.0071    38092    38898
   3c   0.9812    0.0070    38548    39288
   4c   0.9806    0.0068    40894    41702
   1d   0.9793    0.0069    39640    40479
   2d   0.9775    0.0071    37605    38470
   3d   0.9778    0.0069    39541    40439
   4d   0.9786    0.0067    41719    42631
  SC16 =  73  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9794    0.0069    39439    40270
   2a   0.9791    0.0071    37754    38561
   3a   0.9789    0.0069    39348    40198
   4a   0.9794    0.0068    41517    42391
   1b   0.9795    0.0070    39205    40027
   2b   0.9796    0.0071    37647    38432
   3b   0.9809    0.0070    38528    39280
   4b   0.9818    0.0069    40075    40817
   1c   0.9800    0.0071    38046    38822
   2c   0.9805    0.0071    37651    38399
   3c   0.9776    0.0069    39304    40205
   4c   0.9817    0.0068    41296    42065
   1d   0.9797    0.0070    38920    39728
   2d   0.9802    0.0071    38191    38964
   3d   0.9802    0.0070    38525    39302
   4d   0.9825    0.0069    40020    40733
  SC16 =  74  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9820    0.0070    39544    40270
   2a   0.9816    0.0071    37850    38561
   3a   0.9826    0.0070    39500    40198
   4a   0.9835    0.0068    41693    42391
   1b   0.9826    0.0070    39332    40027
   2b   0.9811    0.0071    37707    38432
   3b   0.9839    0.0070    38646    39280
   4b   0.9855    0.0069    40224    40817
   1c   0.9817    0.0071    38111    38822
   2c   0.9825    0.0071    37726    38399
   3c   0.9827    0.0070    39511    40205
   4c   0.9842    0.0068    41399    42065
   1d   0.9847    0.0070    39119    39728
   2d   0.9825    0.0071    38282    38964
   3d   0.9832    0.0070    38642    39302
   4d   0.9856    0.0069    40148    40733
  SC16 =  75  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9850    0.0069    40488    41106
   2a   0.9824    0.0070    39586    40294
   3a   0.9842    0.0069    40539    41189
   4a   0.9877    0.0068    41864    42385
   1b   0.9837    0.0069    40803    41478
   2b   0.9835    0.0070    38953    39605
   3b   0.9839    0.0069    40864    41533
   4b   0.9856    0.0068    41895    42505
   1c   0.9843    0.0068    41478    42139
   2c   0.9825    0.0069    39926    40637
   3c   0.9854    0.0069    40817    41422
   4c   0.9866    0.0067    42925    43509
   1d   0.9839    0.0068    41165    41839
   2d   0.9837    0.0070    39517    40172
   3d   0.9830    0.0068    40869    41576
   4d   0.9840    0.0066    43928    44642
  SC16 =  76  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9862    0.0068    41502    42083
   2a   0.9871    0.0070    39451    39965
   3a   0.9886    0.0069    40287    40752
   4a   0.9897    0.0068    42213    42652
   1b   0.9871    0.0068    41396    41939
   2b   0.9864    0.0070    39284    39824
   3b   0.9870    0.0069    41226    41768
   4b   0.9863    0.0067    43486    44088
   1c   0.9889    0.0070    40084    40533
   2c   0.9868    0.0070    39824    40357
   3c   0.9889    0.0069    40552    41008
   4c   0.9908    0.0069    41425    41809
   1d   0.9887    0.0070    40039    40498
   2d   0.9873    0.0070    39214    39717
   3d   0.9865    0.0069    40925    41486
   4d   0.9883    0.0068    42085    42583
  SC16 =  77  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9895    0.0082    29031    29339
   2a   0.9887    0.0083    28275    28599
   3a   0.9893    0.0081    29510    29830
   4a   0.9902    0.0080    30308    30607
   1b   0.9889    0.0082    28597    28918
   2b   0.9888    0.0084    27365    27675
   3b   0.9892    0.0083    28387    28696
   4b   0.9913    0.0082    29412    29669
   1c   0.9897    0.0082    28659    28957
   2c   0.9885    0.0083    27926    28250
   3c   0.9902    0.0082    29138    29426
   4c   0.9909    0.0080    30831    31113
   1d   0.9895    0.0081    29622    29937
   2d   0.9879    0.0084    27787    28126
   3d   0.9900    0.0082    28675    28964
   4d   0.9913    0.0080    30536    30804
  SC16 =  78  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9807    0.0068    41199    42008
   2a   0.9786    0.0069    39864    40735
   3a   0.9783    0.0068    41363    42279
   4a   0.9815    0.0067    42769    43577
   1b   0.9813    0.0068    40825    41605
   2b   0.9796    0.0069    39542    40366
   3b   0.9815    0.0069    40446    41209
   4b   0.9841    0.0068    41689    42362
   1c   0.9788    0.0068    41347    42244
   2c   0.9795    0.0069    40231    41075
   3c   0.9788    0.0068    41565    42465
   4c   0.9810    0.0066    44415    45276
   1d   0.9796    0.0067    41707    42576
   2d   0.9801    0.0069    39722    40528
   3d   0.9816    0.0068    40700    41462
   4d   0.9816    0.0067    43022    43830
  SC16 =  79  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9796    0.0081    29157    29765
   2a   0.9781    0.0081    28678    29321
   3a   0.9811    0.0081    28751    29304
   4a   0.9783    0.0080    29750    30410
   1b   0.9782    0.0081    29080    29728
   2b   0.9762    0.0082    27948    28628
   3b   0.9796    0.0080    29739    30358
   4b   0.9796    0.0079    30395    31029
   1c   0.9787    0.0080    29856    30505
   2c   0.9787    0.0081    28613    29235
   3c   0.9800    0.0081    29214    29811
   4c   0.9804    0.0079    30742    31356
   1d   0.9781    0.0080    29903    30572
   2d   0.9780    0.0082    28276    28912
   3d   0.9772    0.0080    29570    30259
   4d   0.9788    0.0078    31546    32229
  SC16 =  80  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9850    0.0082    28399    28832
   2a   0.9834    0.0083    27891    28363
   3a   0.9859    0.0082    28386    28791
   4a   0.9878    0.0081    29272    29634
   1b   0.9858    0.0083    28122    28528
   2b   0.9833    0.0084    26978    27437
   3b   0.9846    0.0082    28345    28789
   4b   0.9872    0.0081    29293    29674
   1c   0.9841    0.0082    28684    29148
   2c   0.9828    0.0083    27674    28159
   3c   0.9851    0.0083    27958    28381
   4c   0.9869    0.0081    29810    30206
   1d   0.9848    0.0081    29321    29774
   2d   0.9844    0.0083    27631    28069
   3d   0.9836    0.0082    28503    28979
   4d   0.9851    0.0079    30577    31038
  SC16 =  81  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9856    0.0086    25820    26198
   2a   0.9868    0.0089    24696    25027
   3a   0.9892    0.0088    25195    25469
   4a   0.9892    0.0087    25786    26068
   1b   0.9858    0.0087    25638    26007
   2b   0.9863    0.0089    24125    24459
   3b   0.9873    0.0086    25929    26262
   4b   0.9852    0.0085    26940    27344
   1c   0.9885    0.0089    24530    24816
   2c   0.9873    0.0089    24570    24886
   3c   0.9888    0.0088    25000    25282
   4c   0.9907    0.0087    26103    26347
   1d   0.9887    0.0088    25076    25362
   2d   0.9857    0.0089    24340    24694
   3d   0.9864    0.0087    25796    26152
   4d   0.9871    0.0086    26010    26350
  SC16 =  82  the min number of hits =  4
  pixel    eff     d_eff    n_hit    n_tot
   1a   0.9841    0.0069    40146    40794
   2a   0.9830    0.0070    39206    39884
   3a   0.9854    0.0070    39525    40112
   4a   0.9874    0.0069    40762    41284
   1b   0.9857    0.0069    40187    40771
   2b   0.9851    0.0071    38243    38823
   3b   0.9835    0.0069    40009    40679
   4b   0.9850    0.0068    41450    42082
   1c   0.9835    0.0069    40251    40927
   2c   0.9843    0.0070    39042    39663
   3c   0.9845    0.0069    39990    40621
   4c   0.9869    0.0068    41955    42512
   1d   0.9819    0.0069    40635    41386
   2d   0.9843    0.0070    38912    39532
   3d   0.9831    0.0069    40428    41121
